image_id,track_id,role,team,jersey,x_bottom_middle,y_bottom_middle
2032000553,19,player,right,11,2.090447001290749,20.64747445837605
2032000554,19,player,right,11,1.850146607065496,20.640509348463254
2032000555,19,player,right,11,1.6112033460068824,20.63250107479501
2032000556,19,player,right,11,1.373493461274915,20.62323200446244
2032000557,19,player,right,11,1.1368735419256943,20.61254337931589
2032000558,19,player,right,11,0.9012000671669276,20.60036496242596
2032000559,19,player,right,11,0.6663235010380407,20.586732692394275
2032000560,19,player,right,11,0.4320885205993908,20.57181639422359
2032000561,19,player,right,11,0.198329907026564,20.555937811706197
2032000562,19,player,right,11,-0.0351351797227664,20.53958087378165
2032000563,19,player,right,11,-0.2685088682820093,20.52338809406693
2032000564,19,player,right,11,-0.5020294405075505,20.50816476696034
2032000565,19,player,right,11,-0.7359621428545259,20.49483243435029
2032000566,19,player,right,11,-0.9705823758673398,20.48437476445277
2032000567,19,player,right,11,-1.2061610846065969,20.47777910864045
2032000568,19,player,right,11,-1.4429460590398089,20.475946350798047
2032000569,19,player,right,11,-1.6811362568385892,20.479598221434628
2032000570,19,player,right,11,-1.9208513086579933,20.489195203362858
2032000571,19,player,right,11,-2.162114062172377,20.504849861218737
2032000575,19,player,right,11,-3.13960771138153,20.617385557151888
2032000576,19,player,right,11,-3.3857096925263144,20.65244757737581
2032000577,19,player,right,11,-3.631904912707697,20.687302612672845
2032000578,19,player,right,11,-3.877995193788971,20.72033160367948
2032000579,19,player,right,11,-4.123903082400358,20.750006513190407
2032000580,19,player,right,11,-4.36967296416227,20.774962335892493
2032000581,19,player,right,11,-4.615485236404546,20.794034882462437
2032000582,19,player,right,11,-4.861634104067126,20.80629005607103
2032000583,19,player,right,11,-5.108475359834725,20.811064674925596
2032000584,19,player,right,11,-5.356375289898373,20.80800384019239
2032000585,19,player,right,11,-5.605663637101573,20.797026078535744
2032000586,19,player,right,11,-5.856578768552674,20.778364014247916
2032000587,19,player,right,11,-6.109340923278891,20.75237716635645
2032000588,19,player,right,11,-6.363891153121131,20.71992437853688
2032000589,19,player,right,11,-6.620105736509183,20.68199351548807
2032000590,19,player,right,11,-6.877765009626917,20.639717082544852
2032000591,19,player,right,11,-7.136600836822383,20.59427929089016
2032000592,19,player,right,11,-7.3963595449980994,20.546788964621754
2032000593,19,player,right,11,-7.6568749792085455,20.49812590587462
2032000594,19,player,right,11,-7.918144972636521,20.448768791422253
2032000595,19,player,right,11,-8.180405486066437,20.39862358145617
2032000596,19,player,right,11,-8.44420685016697,20.34683835142128
2032000597,19,player,right,11,-8.710440030996196,20.291713677941587
2032000598,19,player,right,11,-8.980350706070729,20.23063958584669
2032000599,19,player,right,11,-9.255495532857502,20.160143920088068
2032000600,19,player,right,11,-9.537639351982635,20.07610701345941
2032000601,19,player,right,11,-9.828567382621369,19.974082380902185
2032000602,19,player,right,11,-10.129835013403122,19.849786073839816
