image_id,track_id,role,team,jersey,x_bottom_middle,y_bottom_middle
2091000377,9,player,right,10,-2.823114055686604,19.30045999749825
2091000378,9,player,right,10,-2.8646050801072347,19.38775757765066
2091000379,9,player,right,10,-2.9080637319488813,19.47898592199817
2091000382,9,player,right,10,-3.048539321537689,19.776078340610862
2091000383,9,player,right,10,-3.0975726630766927,19.881766594128475
2091000385,9,player,right,10,-3.195498593041736,20.098413075810104
2091000386,9,player,right,10,-3.2430835902084296,20.20697312254636
2091000390,9,player,right,10,-3.415796850891325,20.609728813112262
2091000391,9,player,right,10,-3.4564790278955013,20.69628965472491
2091000393,9,player,right,10,-3.544971037662328,20.84790568851493
2091000394,9,player,right,10,-3.5976348781101835,20.91333682289257
2091000395,9,player,right,10,-3.6595048192140816,20.972737554857083
2091000396,9,player,right,10,-3.73314077097312,21.02709864529224
2091000397,9,player,right,10,-3.820657716197295,21.07750212201999
2091000398,9,player,right,10,-3.923409835796844,21.12498945956178
2091000399,9,player,right,10,-4.041887994793888,21.17035021078717
2091000400,9,player,right,10,-4.175538789334745,21.21411132413496
2091000401,9,player,right,10,-4.322841319742898,21.256427225816743
2091000402,9,player,right,10,-4.481488172580517,21.297108870739653
2091000403,9,player,right,10,-4.648631782979663,21.33567385099124
2091000404,9,player,right,10,-4.821211587010457,21.3714457853692
2091000405,9,player,right,10,-4.996286265664235,21.403677508452613
2091000406,9,player,right,10,-5.171318602322805,21.4316780554113
2091000407,9,player,right,10,-5.344378108860919,21.45493651300128
2091000408,9,player,right,10,-5.514218299547013,21.47318768056075
2091000409,9,player,right,10,-5.680294803429343,21.48645802612649
2091000410,9,player,right,10,-5.842630586502267,21.4950597633622
2091000411,9,player,right,10,-6.001669217595376,21.49953688324075
2091000412,9,player,right,10,-6.158096292165534,21.50059535931665
2091000413,9,player,right,10,-6.312656589958517,21.499011134737064
2091000415,9,player,right,10,-6.618986304949577,21.490831785405163
2091000416,9,player,right,10,-6.771853644743945,21.48536590007747
2091000417,9,player,right,10,-6.925054983483091,21.4794556798418
2091000418,9,player,right,10,-7.078923602548156,21.473212366717902
2091000419,9,player,right,10,-7.233710021642036,21.466602833929677
2091000420,9,player,right,10,-7.389667515810778,21.459481841431693
2091000421,9,player,right,10,-7.547002190147164,21.451664256477173
2091000422,9,player,right,10,-7.705831958773514,21.442989324464108
2091000423,9,player,right,10,-7.86622727979327,21.43335736869977
2091000424,9,player,right,10,-8.028076880004335,21.422760267904277
2091000425,9,player,right,10,-8.19113180202002,21.41132732546937
2091000426,9,player,right,10,-8.354984939365792,21.399286890277992
2091000427,9,player,right,10,-8.519127591753167,21.386949130284336
2091000428,9,player,right,10,-8.682950090851179,21.374643660118068
2091000429,9,player,right,10,-8.845806939236754,21.362691819239227
2091000430,9,player,right,10,-9.007072666629128,21.351353934155767
2091000431,9,player,right,10,-9.166185237613892,21.34079238846813
2091000432,9,player,right,10,-9.32268597961702,21.33105638949441
2091000433,9,player,right,10,-9.47624797407631,21.32209463570006
2091000434,9,player,right,10,-9.62660145723228,21.31378155243373
2091000435,9,player,right,10,-9.773628336592337,21.305929361212268
2091000436,9,player,right,10,-9.917276205537505,21.298372115754773
2091000437,9,player,right,10,-10.057537496791255,21.29100218343492
2091000438,9,player,right,10,-10.19443934400558,21.28380268180641
2091000439,9,player,right,10,-10.328016475744064,21.27686983757407
2091000440,9,player,right,10,-10.458291827247615,21.27043013155918
2091000441,9,player,right,10,-10.585279796422128,21.26481491310001
2091000442,9,player,right,10,-10.708985734958516,21.26042915972106
2091000443,9,player,right,10,-10.82940692188243,21.25771051129124
2091000444,9,player,right,10,-10.946545840292,21.257076851162743
2091000445,9,player,right,10,-11.060419611312058,21.25887629187905
2091000446,9,player,right,10,-11.17105974998496,21.263345878525527
2091000447,9,player,right,10,-11.27855116878347,21.270570813282077
2091000448,9,player,right,10,-11.382917306068553,21.280545581144395
2091000449,9,player,right,10,-11.484269407977052,21.293064404421383
2091000450,9,player,right,10,-11.582691927843667,21.3078413067422
2091000451,9,player,right,10,-11.67826858554968,21.324493960837312
2091000452,9,player,right,10,-11.77104890238632,21.342671623820955
2091000453,9,player,right,10,-11.861068992001147,21.362001429235896
2091000454,9,player,right,10,-11.948348231283342,21.382195878130737
2091000455,9,player,right,10,-12.032896216380523,21.40306256651343
2091000456,9,player,right,10,-12.114710156375397,21.42451927383422
2091000457,9,player,right,10,-12.193805990567496,21.44660092943432
2091000458,9,player,right,10,-12.270238368894114,21.469443789417717
2091000459,9,player,right,10,-12.344101105339115,21.493233700818276
2091000460,9,player,right,10,-12.415574239910152,21.51820649855229
2091000461,9,player,right,10,-12.48490903949739,21.544571591678952
2091000462,9,player,right,10,-12.552438423265246,21.572496485852582
2091000463,9,player,right,10,-12.618551114743925,21.60204101445486
2091000464,9,player,right,10,-12.683667820823535,21.63314364336123
2091000465,9,player,right,10,-12.7482393002991,21.665625367125017
2091000466,9,player,right,10,-12.812696860386737,21.699134244383263
2091000467,9,player,right,10,-12.877380924798294,21.733211828019723
2091000468,9,player,right,10,-12.94261642338981,21.7672655859163
2091000469,9,player,right,10,-13.008595194899186,21.80061754746178
2091000470,9,player,right,10,-13.075427429128744,21.83251787335705
2091000471,9,player,right,10,-13.143147721346164,21.86217435307584
2091000472,9,player,right,10,-13.211707659685436,21.88881490342192
2091000473,9,player,right,10,-13.28099137744508,21.911681543383946
2091000474,9,player,right,10,-13.35083332233216,21.930093471458243
2091000475,9,player,right,10,-13.421023709332305,21.9434939600211
2091000476,9,player,right,10,-13.491300638242636,21.95148618935921
2091000477,9,player,right,10,-13.561385041800827,21.95391061183124
2091000478,9,player,right,10,-13.630964131017423,21.950878449626654
2091000479,9,player,right,10,-13.699718521979458,21.942807198985232
2091000480,9,player,right,10,-13.76732308241369,21.9304387670114
2091000481,9,player,right,10,-13.8334769481573,21.914805465805596
2091000482,9,player,right,10,-13.897921591320902,21.89720078448477
2091000483,9,player,right,10,-13.96045611686188,21.879080791660428
2091000484,9,player,right,10,-14.020949709330877,21.861950396607305
2091000485,9,player,right,10,-14.079335681234156,21.84722804376874
2091000486,9,player,right,10,-14.135658950917549,21.83614229920489
2091000487,9,player,right,10,-14.190018034783378,21.82956758803027
2091000488,9,player,right,10,-14.24259051068106,21.82795344127597
2091000489,9,player,right,10,-14.293629974839265,21.831310294443963
2091000490,9,player,right,10,-14.343445314510214,21.83914012890777
2091000491,9,player,right,10,-14.392408473815316,21.85055391605064
2091000492,9,player,right,10,-14.440931625841284,21.86430613587276
2091000493,9,player,right,10,-14.48945435330785,21.87895592438291
2091000494,9,player,right,10,-14.538414996326896,21.893012560075206
2091000495,9,player,right,10,-14.588233929022898,21.905130300443755
2091000496,9,player,right,10,-14.639262985272127,21.91424865041517
2091000497,9,player,right,10,-14.691794951908276,21.91973425898605
2091000498,9,player,right,10,-14.745950493480924,21.92148332819001
2091000499,9,player,right,10,-14.80173053047336,21.91992286837841
2091000500,9,player,right,10,-14.85897877444409,21.91600408954515
