image_id,track_id,jersey_number,x,y,team
2026000190,9.0,17,-34.956519242815986,24.766082639706298,right
2026000191,9.0,17,-34.81205130756923,24.18154133753506,right
2026000192,9.0,17,-34.63921247956765,23.84246931212816,right
2026000198,9.0,17,-33.241646540606766,23.402394884639268,right
2026000199,9.0,17,-32.90526596246481,23.30304786756102,right
2026000200,9.0,17,-32.48003628916294,23.94726042932537,right
2026000193,9.0,17,-34.56056837599019,23.78543244058209,right
2026000194,9.0,17,-34.45926211215018,23.520757861973102,right
2026000195,9.0,17,-34.13177153460737,23.615552722186063,right
2026000196,9.0,17,-33.69975349964546,23.597027076257948,right
2026000197,9.0,17,-33.252553126882134,24.369031939081538,right
2026000201,9.0,17,-32.36626957416898,23.58469573005589,right
2026000202,9.0,17,-32.14712224315029,22.971507173489798,right
2026000203,9.0,17,-31.706465493943185,23.52761384306672,right
2026000204,9.0,17,-31.61208250448728,22.691763996683463,right
2026000205,9.0,17,-31.43480467353824,23.23179476196516,right
2026000206,9.0,17,-31.38668498828897,22.385942603793943,right
2026000207,9.0,17,-30.68599729651456,23.093349802315515,right
2026000208,9.0,17,-30.429710736626127,23.094264098670365,right
2026000216,9.0,17,-27.702821815459,23.146708323224743,right
2026000209,9.0,17,-30.28151488941036,22.441771938096657,right
2026000210,9.0,17,-29.873184635101744,22.8161599529615,right
2026000211,9.0,17,-29.389834707170586,23.56268974569777,right
2026000215,9.0,17,-28.288546533588992,22.37291034349651,right
2026000218,9.0,17,-27.315945843850944,22.71455666040104,right
2026000222,9.0,17,-26.03501856494877,22.126748612572765,right
2026000224,9.0,17,-25.24355794825844,22.84053410297272,right
2026000226,9.0,17,-25.26832384367296,21.260221025235214,right
2026000227,9.0,17,-24.64699921151748,22.024229378606627,right
2026000228,9.0,17,-24.798419516804262,21.491339009989712,right
2026000229,9.0,17,-24.04070093465896,21.688918827977695,right
2026000230,9.0,17,-24.179808311261876,20.75219513019253,right
2026000231,9.0,17,-23.51078604974383,21.384688341322203,right
2026000232,9.0,17,-23.35176915363673,21.08652720183943,right
2026000235,9.0,17,-22.5100654441028,20.88698705313301,right
2026000236,9.0,17,-21.137798418406817,21.96400443075276,right
2026000237,9.0,17,-21.240886648323645,21.67227219860617,right
2026000238,9.0,17,-21.503884836781285,21.27465504189004,right
2026000240,9.0,17,-19.885116996684047,22.16897704064472,right
2026000233,9.0,17,-22.830197836449543,21.206441469246805,right
2026000234,9.0,17,-22.52864711277441,21.06084581318739,right
2026000241,9.0,17,-19.737633077742714,22.022883679679264,right
2026000245,9.0,17,-18.455612765085988,21.35320403370045,right
2026000246,9.0,17,-17.931175142831936,21.36343535627193,right
2026000247,9.0,17,-18.217337587108503,20.908072295418307,right
2026000248,9.0,17,-17.51244905045541,21.343321533976315,right
2026000252,9.0,17,-16.399451835571742,20.41534605333466,right
2026000253,9.0,17,-15.81235301236447,20.70978080940724,right
2026000254,9.0,17,-14.701059203866333,21.82606750516992,right
2026000255,9.0,17,-15.250176391438153,20.800364475502143,right
2026000256,9.0,17,-13.652402077163078,22.071669300561727,right
2026000249,9.0,17,-16.199375730444963,22.00805890940916,right
2026000250,9.0,17,-16.78626235887517,21.024669605596248,right
2026000251,9.0,17,-15.383319189358966,22.277141930589224,right
2026000257,9.0,17,-15.496835658460013,19.992250347204568,right
2026000258,9.0,17,-15.253984765346758,19.83998490288646,right
2026000259,9.0,17,-14.425472117560895,20.41583317176297,right
2026000260,9.0,17,-14.508027425473818,19.831972784372223,right
2026000261,9.0,17,-14.141406461956269,19.82961171306032,right
2026000262,9.0,17,-13.88122097624267,19.29969406297914,right
2026000263,9.0,17,-13.834859466994256,19.235980631378784,right
2026000264,9.0,17,-13.342905976046648,19.34274214600316,right
2026000265,9.0,17,-13.123537201446812,19.523712161354403,right
2026000266,9.0,17,-12.595854610195444,20.11539370349352,right
2026000267,9.0,17,-12.324640983963569,20.16815748020908,right
2026000268,9.0,17,-11.988027296807758,19.451920463417625,right
2026000269,9.0,17,-11.662809252960164,19.52777776934756,right
2026000270,9.0,17,-11.332229711652769,19.59795503862428,right
2026000271,9.0,17,-10.928757337164154,19.496279049605235,right
2026000272,9.0,17,-10.584806442327672,19.629657403179397,right
2026000273,9.0,17,-10.50123375743974,20.777150703749804,right
2026000274,9.0,17,-10.395281187808202,20.47442767470948,right
2026000275,9.0,17,-9.9592398401775,20.49403327156198,right
2026000276,9.0,17,-9.697740000167116,20.5236738154641,right
2026000277,9.0,17,-9.199162229824452,20.191917141011025,right
2026000278,9.0,17,-8.764296885657119,20.063747790948742,right
2026000279,9.0,17,-8.190236397440565,19.89667205826604,right
2026000280,9.0,17,-8.069238967706257,20.21243198396731,right
2026000281,9.0,17,-7.984609129272064,20.106913808933516,right
2026000282,9.0,17,-7.562316619876469,20.063262575478568,right
2026000283,9.0,17,-7.070482764733631,20.070551595513518,right
2026000284,9.0,17,-6.766550486209747,20.269347957995933,right
2026000285,9.0,17,-6.202644336713704,19.840543453474805,right
2026000286,9.0,17,-5.938693285219377,19.472076921718468,right
2026000287,9.0,17,-5.313571306323754,19.283758279760708,right
2026000288,9.0,17,-5.0475418293732135,19.463707614540127,right
2026000289,9.0,17,-4.824088671812949,19.585013902150383,right
2026000290,9.0,17,-4.3368291152864815,19.871785656468344,right
2026000291,9.0,17,-4.1174468900138335,19.60626248319943,right
2026000292,9.0,17,-3.803827425094892,19.85717890863824,right
2026000293,9.0,17,-3.328106144499918,19.647899122226104,right
2026000294,9.0,17,-2.961159524013818,19.369284557783068,right
2026000295,9.0,17,-2.790089867665308,20.19243004614801,right
2026000296,9.0,17,-2.246089527334239,19.69162130283704,right
2026000300,9.0,17,-0.9386501130198472,20.733055465421227,right
2026000301,9.0,17,-0.5719784389368969,20.94633523163382,right
2026000302,9.0,17,-0.1612744416636996,19.24480013076789,right
2026000303,9.0,17,0.33755054959024,20.756390478959847,right
2026000304,9.0,17,0.5832890952963448,20.826584866031855,right
2026000297,9.0,17,-2.0386160911494016,20.22569003227832,right
2026000298,9.0,17,-1.5667910396743752,20.363227581630603,right
2026000299,9.0,17,-1.1335846201123008,20.23893084086341,right
2026000305,9.0,17,1.0405065143406624,21.066026306767867,right
2026000306,9.0,17,1.212930769597385,20.44610301701639,right
2026000307,9.0,17,1.647819491734022,18.681545905552287,right
2026000308,9.0,17,1.9984381478993043,19.68434825576473,right
2026000309,9.0,17,2.379247175122328,19.644641587966127,right
2026000310,9.0,17,2.752234019119918,20.018143160015157,right
2026000311,9.0,17,2.995305171219495,20.00611450824447,right
2026000312,9.0,17,3.2989505774972416,20.110309438829837,right
2026000313,9.0,17,3.750949316034386,19.86612517511389,right
2026000314,9.0,17,3.9763601444723378,20.196427831639294,right
2026000315,9.0,17,4.409715859442171,20.097499010709544,right
2026000316,9.0,17,4.668511587590337,19.798189790954297,right
2026000317,9.0,17,5.18387657421932,20.02057084575655,right
2026000318,9.0,17,6.2714037837664325,19.591783177214907,right
2026000319,9.0,17,6.316329075502575,18.96488725168105,right
2026000320,9.0,17,6.38722676216875,18.793269638448407,right
2026000321,9.0,17,5.809657685612169,19.50407189467055,right
2026000322,9.0,17,6.678760758174354,19.088141939409205,right
2026000323,9.0,17,6.130143314512157,20.73473046960778,right
2026000325,9.0,17,7.750521588253259,19.34356682497653,right
2026000326,9.0,17,7.038779952018282,20.875590388865906,right
2026000331,9.0,17,8.541228941613312,21.66517847798021,right
2026000333,9.0,17,10.42457548183371,20.84221922027872,right
2026000334,9.0,17,9.265650559002736,21.505396435679717,right
2026000335,9.0,17,11.19746608272722,20.98684250898473,right
2026000338,9.0,17,11.288630477212427,22.11168388186251,right
2026000339,9.0,17,12.30043137258348,21.47780603468426,right
2026000340,9.0,17,11.822770697558326,22.17783889171391,right
2026000341,9.0,17,11.813900332198214,22.570194879933972,right
2026000342,9.0,17,12.385874314519077,21.730737700980928,right
2026000343,9.0,17,12.877350648631996,22.17055644391808,right
2026000345,9.0,17,14.0747944246688,21.323441268314696,right
2026000346,9.0,17,14.659964761740127,21.16399589690039,right
2026000347,9.0,17,13.949767424388645,22.834451310340707,right
2026000348,9.0,17,14.24167349933398,22.881300502001537,right
2026000349,9.0,17,14.561342292127897,22.85610645551143,right
2026000350,9.0,17,14.773467332963666,23.161754078961845,right
2026000351,9.0,17,15.344668927930622,22.68714327064487,right
2026000352,9.0,17,15.416951999329353,23.067577861372254,right
2026000359,9.0,17,17.84105773162854,23.36996242783455,right
2026000353,9.0,17,16.020348582621633,22.80765484072684,right
2026000354,9.0,17,16.057991084522218,23.39651431727263,right
2026000355,9.0,17,16.86632091435332,23.374834635159345,right
2026000356,9.0,17,16.876098869405457,23.75095365405744,right
2026000357,9.0,17,17.23918657243146,23.541691606559645,right
2026000358,9.0,17,17.434141720972388,23.392460450794832,right
