image_id,track_id,jersey_number,x,y,team
2024000003,4.0,22,-25.735388345741992,1.5005129815618117,right
2024000004,4.0,22,-25.669977745888744,1.4353805122460814,right
2024000005,4.0,22,-25.28928412671551,1.6455917414356187,right
2024000006,4.0,22,-24.981945724713853,1.988877125772088,right
2024000007,4.0,22,-25.08012828669356,1.4952783030253851,right
2024000008,4.0,22,-24.86549419114123,1.379295396704867,right
2024000001,4.0,22,-25.713871125122637,1.7950819899318449,right
2024000002,4.0,22,-25.75002523825293,1.644117158686874,right
2024000009,4.0,22,-24.78797425981005,1.232143577435323,right
2024000010,4.0,22,-24.623224704185542,1.1142755384126637,right
2024000011,4.0,22,-24.663050558372067,0.8710012484369016,right
2024000012,4.0,22,-24.505499909024373,0.9329959774924615,right
2024000013,4.0,22,-24.71026570922481,0.6284305487104436,right
2024000014,4.0,22,-24.22557481945509,1.2003197966657282,right
2024000015,4.0,22,-24.01917590384701,1.2564515337737554,right
2024000018,4.0,22,-23.48071379043873,0.9461354834483404,right
2024000019,4.0,22,-23.565959306143117,0.7490333475039512,right
2024000020,4.0,22,-23.05238296463601,0.7601499785053922,right
2024000021,4.0,22,-23.385090945299165,0.4438497243194577,right
2024000022,4.0,22,-23.110663267633072,0.6651441948552926,right
2024000028,4.0,22,-22.27733672995438,0.3049028582077394,right
2024000029,4.0,22,-22.538655579387825,-0.0917556562933321,right
2024000030,4.0,22,-22.67577924823995,-0.1564895969300768,right
2024000031,4.0,22,-22.52595404033497,-0.3646634349559221,right
2024000032,4.0,22,-22.463734883930773,-0.2913359177621799,right
2024000025,4.0,22,-22.93325273137174,0.6884384542707381,right
2024000026,4.0,22,-22.827246530419718,0.4038533153380004,right
2024000027,4.0,22,-22.649727093530863,0.3813657657409579,right
2024000033,4.0,22,-22.35972379222849,-0.3003729576374595,right
2024000034,4.0,22,-22.291904773106427,-0.2148341195744167,right
2024000035,4.0,22,-21.997989024622708,-0.1923040849548103,right
2024000036,4.0,22,-20.81164958829739,0.3731022836824046,right
2024000037,4.0,22,-21.534454383503626,-0.2691993729677464,right
2024000038,4.0,22,-21.855060034975214,-0.354411084746322,right
2024000039,4.0,22,-22.02055481478844,-0.640548442372411,right
2024000040,4.0,22,-21.595404364739583,-0.5247129301790117,right
2024000041,4.0,22,-21.17891749269125,-0.3725750163519716,right
2024000042,4.0,22,-21.18028088428149,-0.2968470994069367,right
2024000043,4.0,22,-20.918898235631072,-0.5337068889941566,right
2024000044,4.0,22,-20.935314792015987,-0.6351916214624183,right
2024000045,4.0,22,-20.818688907514797,-0.9431712229633932,right
2024000046,4.0,22,-20.492075494228047,-0.6597796111754534,right
2024000047,4.0,22,-20.277037027519576,-0.6567676684895145,right
2024000048,4.0,22,-20.621177520509708,-0.9155759636544162,right
2024000054,4.0,22,-19.7197173982159,-0.761215196895328,right
2024000055,4.0,22,-19.50447803729539,-1.0303469397437912,right
2024000056,4.0,22,-19.05723841779532,-1.1156121281324671,right
2024000049,4.0,22,-20.782161958697245,-0.8122586591346325,right
2024000050,4.0,22,-20.82897161123505,-0.6389450406147444,right
2024000051,4.0,22,-19.917347418317,-0.8243262943540874,right
2024000052,4.0,22,-19.84063898459692,-0.7539379025699288,right
2024000053,4.0,22,-19.52121441166796,-0.4061592298919709,right
2024000057,4.0,22,-19.627889584794385,-1.8399676731541408,right
2024000058,4.0,22,-18.98576874818805,-1.0562241850839869,right
2024000059,4.0,22,-18.790902223581668,-0.9199331721031698,right
2024000060,4.0,22,-19.08104464725954,-1.4538914842026387,right
2024000061,4.0,22,-19.331448312087588,-1.3225661820929384,right
2024000062,4.0,22,-18.642742009967986,-0.9241453312285224,right
2024000063,4.0,22,-18.092783873151014,-1.1171962487971254,right
2024000064,4.0,22,-18.344116430793783,-1.688519990421579,right
2024000065,4.0,22,-18.5803004349308,-1.5062886275641174,right
2024000066,4.0,22,-19.28310205307272,-1.615303505299086,right
2024000067,4.0,22,-18.08462657661948,-1.9304211845744408,right
2024000068,4.0,22,-17.468710409497646,-1.2490421599276782,right
2024000069,4.0,22,-17.70865571825618,-1.6621592214529737,right
2024000070,4.0,22,-17.182295904490594,-1.75669043275102,right
2024000071,4.0,22,-17.80742383330789,-1.7554673801864633,right
2024000072,4.0,22,-18.08389973531483,-2.029360089923889,right
2024000079,4.0,22,-17.07452774732239,-2.1979240485411786,right
2024000080,4.0,22,-17.138914023483526,-2.159036763891854,right
2024000073,4.0,22,-17.57874042901586,-1.9996248276792543,right
2024000074,4.0,22,-17.651412560278263,-1.905504618855442,right
2024000075,4.0,22,-18.25718546588041,-2.3225797204400216,right
2024000076,4.0,22,-17.702976589066463,-2.6813298020340235,right
2024000077,4.0,22,-17.498407977064332,-2.230165292660121,right
2024000078,4.0,22,-17.218900184384655,-2.374993870626721,right
2024000081,4.0,22,-17.063158935964832,-2.1259199970522764,right
2024000082,4.0,22,-17.015665126515056,-2.497531377190111,right
2024000083,4.0,22,-17.117945365901765,-2.4910139250641543,right
2024000084,4.0,22,-17.013177027707886,-2.489976162919608,right
2024000085,4.0,22,-16.564577813205805,-2.402275218243937,right
2024000086,4.0,22,-16.96488981823312,-2.69402243692958,right
2024000087,4.0,22,-16.54863953287152,-3.177650459499181,right
2024000088,4.0,22,-16.66249809571092,-3.196149384410742,right
2024000089,4.0,22,-16.466727755256883,-3.218074395135092,right
2024000090,4.0,22,-16.022319472129038,-2.94788182942611,right
2024000091,4.0,22,-15.506070171181966,-2.860402287607848,right
2024000092,4.0,22,-15.59230569943474,-2.8092588906774254,right
2024000093,4.0,22,-15.751656147425642,-2.994218965906207,right
2024000094,4.0,22,-16.31689065105584,-3.276122051040828,right
2024000095,4.0,22,-15.340372361259078,-2.9189580239073547,right
2024000096,4.0,22,-15.603928701435244,-3.0084303444179787,right
2024000103,4.0,22,-14.669016945524504,-3.152898885011431,right
2024000104,4.0,22,-14.56265974896574,-3.0626967162070864,right
2024000097,4.0,22,-15.652816069084151,-3.1339396483407427,right
2024000098,4.0,22,-15.275819481742026,-3.1049874433660776,right
2024000099,4.0,22,-15.222358108871026,-3.1495435516258845,right
2024000100,4.0,22,-14.927986602037658,-2.762589628673685,right
2024000101,4.0,22,-14.565458877216455,-2.86736122151127,right
2024000102,4.0,22,-14.7684031478572,-2.9820328882029843,right
2024000105,4.0,22,-14.566966668904094,-3.273341241107614,right
2024000106,4.0,22,-14.793151015502223,-3.574315755808502,right
2024000107,4.0,22,-14.595387577444232,-3.5019510695527742,right
2024000108,4.0,22,-14.508696493279524,-3.388397682373309,right
2024000109,4.0,22,-14.502973568529049,-3.490038287718032,right
2024000110,4.0,22,-14.443041292958084,-3.379802460693989,right
2024000111,4.0,22,-14.102120129187243,-2.8338292619518386,right
2024000112,4.0,22,-14.347272664285892,-3.104384421282649,right
2024000113,4.0,22,-14.658328670708835,-3.5439427223429134,right
2024000114,4.0,22,-14.636369232287256,-3.7174467849013006,right
2024000115,4.0,22,-14.61569606007318,-3.7677019789491526,right
2024000116,4.0,22,-14.93887287559947,-3.525375623943891,right
2024000117,4.0,22,-14.034938773378798,-3.913999084475151,right
2024000118,4.0,22,-13.92963113570433,-4.179842561782937,right
2024000119,4.0,22,-13.78391576718938,-4.306392151835447,right
2024000120,4.0,22,-13.450784638217522,-4.454953693435591,right
2024000121,4.0,22,-13.572321148844347,-4.25350293445979,right
2024000122,4.0,22,-13.993970835716413,-4.138983598434667,right
2024000123,4.0,22,-13.714916399250855,-3.833851635953568,right
2024000124,4.0,22,-13.761700602629151,-4.458279135704848,right
2024000125,4.0,22,-13.529167504582931,-4.476375057573573,right
2024000126,4.0,22,-13.60269801954558,-4.487237572280267,right
2024000127,4.0,22,-13.841075703207505,-4.6524770242320725,right
2024000128,4.0,22,-13.303666870069152,-4.267336440622644,right
2024000130,4.0,22,-12.735711246879315,-4.6785248043295145,right
2024000131,4.0,22,-13.855287943213808,-4.60704371539688,right
